onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.05	Tone 100Hz	1	0.100	80.00	0.035
2.1	0.2	Tone 100Hz	1	0.100	80.00	0.035
2.35	0.05	Tone 100Hz	1	0.100	80.00	0.035
2.45	0.2	Tone 100Hz	1	0.100	80.00	0.035
2.7	0.05	Tone 100Hz	1	0.100	80.00	0.035
2.8	0.2	Tone 100Hz	1	0.100	80.00	0.035
3.05	0.05	Tone 100Hz	1	0.100	80.00	0.035
3.15	0.2	Tone 100Hz	1	0.100	80.00	0.035
3.4	0.2	Tone 100Hz	1	0.100	80.00	0.035
3.65	0.05	Tone 100Hz	1	0.100	80.00	0.035
3.75	0.2	Tone 100Hz	1	0.100	80.00	0.035
4.0	0.05	Tone 100Hz	1	0.100	80.00	0.035
4.1	0.2	Tone 100Hz	1	0.100	80.00	0.035
4.35	0.2	Tone 100Hz	1	0.100	80.00	0.035
4.6	0.05	Tone 100Hz	1	0.100	80.00	0.035
4.7	0.05	Tone 100Hz	1	0.100	80.00	0.035
4.8	0.2	Tone 100Hz	1	0.100	80.00	0.035
5.05	0.2	Tone 100Hz	1	0.100	80.00	0.035
5.3	0.2	Tone 100Hz	1	0.100	80.00	0.035
5.55	0.05	Tone 100Hz	1	0.100	80.00	0.035
5.65	0.2	Tone 100Hz	1	0.100	80.00	0.035
5.9	0.2	Tone 100Hz	1	0.100	80.00	0.035
6.15	0.05	Tone 100Hz	1	0.100	80.00	0.035
6.25	0.2	Tone 100Hz	1	0.100	80.00	0.035
6.5	0.2	Tone 100Hz	1	0.100	80.00	0.035
6.75	0.2	Tone 100Hz	1	0.100	80.00	0.035
9.503	0.05	Tone 8012Hz	2	8.012	80.00	0.886
9.603	0.2	Tone 8012Hz	2	8.012	80.00	0.886
9.853	0.05	Tone 8012Hz	2	8.012	80.00	0.886
9.953	0.2	Tone 8012Hz	2	8.012	80.00	0.886
10.203	0.05	Tone 8012Hz	2	8.012	80.00	0.886
10.303	0.2	Tone 8012Hz	2	8.012	80.00	0.886
10.553	0.2	Tone 8012Hz	2	8.012	80.00	0.886
10.803	0.2	Tone 8012Hz	2	8.012	80.00	0.886
11.053	0.2	Tone 8012Hz	2	8.012	80.00	0.886
11.303	0.05	Tone 8012Hz	2	8.012	80.00	0.886
11.403	0.2	Tone 8012Hz	2	8.012	80.00	0.886
11.653	0.2	Tone 8012Hz	2	8.012	80.00	0.886
11.903	0.05	Tone 8012Hz	2	8.012	80.00	0.886
12.003	0.2	Tone 8012Hz	2	8.012	80.00	0.886
12.253	0.2	Tone 8012Hz	2	8.012	80.00	0.886
12.503	0.05	Tone 8012Hz	2	8.012	80.00	0.886
12.603	0.05	Tone 8012Hz	2	8.012	80.00	0.886
12.703	0.2	Tone 8012Hz	2	8.012	80.00	0.886
12.953	0.2	Tone 8012Hz	2	8.012	80.00	0.886
13.203	0.2	Tone 8012Hz	2	8.012	80.00	0.886
13.453	0.05	Tone 8012Hz	2	8.012	80.00	0.886
13.553	0.2	Tone 8012Hz	2	8.012	80.00	0.886
13.803	0.2	Tone 8012Hz	2	8.012	80.00	0.886
14.053	0.05	Tone 8012Hz	2	8.012	80.00	0.886
14.153	0.2	Tone 8012Hz	2	8.012	80.00	0.886
14.403	0.05	Tone 8012Hz	2	8.012	80.00	0.886
17.007	0.2	Tone 1696Hz	3	1.696	80.00	0.207
17.257	0.2	Tone 1696Hz	3	1.696	80.00	0.207
17.507	0.2	Tone 1696Hz	3	1.696	80.00	0.207
17.757	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.007	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.257	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.507	0.05	Tone 1696Hz	3	1.696	80.00	0.207
18.607	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.857	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.107	0.05	Tone 1696Hz	3	1.696	80.00	0.207
19.207	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.457	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.707	0.05	Tone 1696Hz	3	1.696	80.00	0.207
19.807	0.05	Tone 1696Hz	3	1.696	80.00	0.207
19.907	0.05	Tone 1696Hz	3	1.696	80.00	0.207
20.007	0.05	Tone 1696Hz	3	1.696	80.00	0.207
20.107	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.357	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.607	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.857	0.05	Tone 1696Hz	3	1.696	80.00	0.207
20.957	0.05	Tone 1696Hz	3	1.696	80.00	0.207
21.057	0.2	Tone 1696Hz	3	1.696	80.00	0.207
21.307	0.05	Tone 1696Hz	3	1.696	80.00	0.207
21.407	0.2	Tone 1696Hz	3	1.696	80.00	0.207
21.657	0.2	Tone 1696Hz	3	1.696	80.00	0.207
21.907	0.05	Tone 1696Hz	3	1.696	80.00	0.207
24.51	0.2	Tone 1181Hz	4	1.181	80.00	0.152
24.76	0.2	Tone 1181Hz	4	1.181	80.00	0.152
25.01	0.05	Tone 1181Hz	4	1.181	80.00	0.152
25.11	0.2	Tone 1181Hz	4	1.181	80.00	0.152
25.36	0.2	Tone 1181Hz	4	1.181	80.00	0.152
25.61	0.2	Tone 1181Hz	4	1.181	80.00	0.152
25.86	0.2	Tone 1181Hz	4	1.181	80.00	0.152
26.11	0.2	Tone 1181Hz	4	1.181	80.00	0.152
26.36	0.2	Tone 1181Hz	4	1.181	80.00	0.152
26.61	0.05	Tone 1181Hz	4	1.181	80.00	0.152
26.71	0.05	Tone 1181Hz	4	1.181	80.00	0.152
26.81	0.2	Tone 1181Hz	4	1.181	80.00	0.152
27.06	0.05	Tone 1181Hz	4	1.181	80.00	0.152
27.16	0.2	Tone 1181Hz	4	1.181	80.00	0.152
27.41	0.2	Tone 1181Hz	4	1.181	80.00	0.152
27.66	0.2	Tone 1181Hz	4	1.181	80.00	0.152
27.91	0.05	Tone 1181Hz	4	1.181	80.00	0.152
28.01	0.05	Tone 1181Hz	4	1.181	80.00	0.152
28.11	0.05	Tone 1181Hz	4	1.181	80.00	0.152
28.21	0.05	Tone 1181Hz	4	1.181	80.00	0.152
28.31	0.2	Tone 1181Hz	4	1.181	80.00	0.152
28.56	0.2	Tone 1181Hz	4	1.181	80.00	0.152
28.81	0.05	Tone 1181Hz	4	1.181	80.00	0.152
28.91	0.05	Tone 1181Hz	4	1.181	80.00	0.152
29.01	0.2	Tone 1181Hz	4	1.181	80.00	0.152
29.26	0.2	Tone 1181Hz	4	1.181	80.00	0.152
32.014	0.2	Tone 1907Hz	5	1.907	80.00	0.230
32.264	0.2	Tone 1907Hz	5	1.907	80.00	0.230
32.514	0.2	Tone 1907Hz	5	1.907	80.00	0.230
32.764	0.2	Tone 1907Hz	5	1.907	80.00	0.230
33.014	0.05	Tone 1907Hz	5	1.907	80.00	0.230
