onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
2.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
7.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
7.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
10.031	0.2	Adapter 899Hz	2	0.899	70.00	0.121
10.531	0.2	Adapter 899Hz	2	0.899	70.00	0.121
11.031	0.2	Adapter 899Hz	2	0.899	70.00	0.121
11.531	0.2	Adapter 899Hz	2	0.899	70.00	0.121
12.031	0.2	Adapter 899Hz	2	0.899	70.00	0.121
12.531	0.2	Adapter 899Hz	2	0.899	70.00	0.121
13.031	0.2	Adapter 899Hz	2	0.899	70.00	0.121
13.531	0.2	Adapter 899Hz	2	0.899	70.00	0.121
14.031	0.2	Adapter 899Hz	2	0.899	70.00	0.121
14.531	0.2	Adapter 899Hz	2	0.899	70.00	0.121
17.5	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
18.0	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
18.5	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
19.0	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
19.5	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
20.0	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
20.5	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
21.0	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
21.5	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
22.0	0.2	Adapter 6009Hz	3	6.009	70.00	0.671
32.515	0.2	Adapter 251Hz	5	0.251	70.00	0.052
33.015	0.2	Adapter 251Hz	5	0.251	70.00	0.052
33.515	0.2	Adapter 251Hz	5	0.251	70.00	0.052
34.015	0.2	Adapter 251Hz	5	0.251	70.00	0.052
34.515	0.2	Adapter 251Hz	5	0.251	70.00	0.052
35.015	0.2	Adapter 251Hz	5	0.251	70.00	0.052
35.515	0.2	Adapter 251Hz	5	0.251	70.00	0.052
36.015	0.2	Adapter 251Hz	5	0.251	70.00	0.052
36.515	0.2	Adapter 251Hz	5	0.251	70.00	0.052
37.015	0.2	Adapter 251Hz	5	0.251	70.00	0.052
40.015	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
40.245	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
40.515	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
40.745	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
41.015	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
41.245	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
41.515	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
41.745	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
42.015	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
42.245	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
42.515	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
42.745	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
43.015	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
43.245	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
43.515	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
43.745	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
44.015	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
44.245	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
44.515	0.2	Adapter 899Hz Probe 3839Hz	6	0.899	70.00	0.121
44.745	0.05	Adapter 899Hz Probe 3839Hz	6	3.839	70.00	0.437
47.546	0.2	Adapter 507Hz	7	0.507	70.00	0.079
48.046	0.2	Adapter 507Hz	7	0.507	70.00	0.079
48.546	0.2	Adapter 507Hz	7	0.507	70.00	0.079
49.046	0.2	Adapter 507Hz	7	0.507	70.00	0.079
49.546	0.2	Adapter 507Hz	7	0.507	70.00	0.079
50.046	0.2	Adapter 507Hz	7	0.507	70.00	0.079
50.546	0.2	Adapter 507Hz	7	0.507	70.00	0.079
51.046	0.2	Adapter 507Hz	7	0.507	70.00	0.079
51.546	0.2	Adapter 507Hz	7	0.507	70.00	0.079
52.046	0.2	Adapter 507Hz	7	0.507	70.00	0.079
55.015	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
55.515	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
56.015	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
56.515	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
57.015	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
57.515	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
58.015	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
58.515	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
59.015	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
59.515	0.2	Adapter 2423Hz	8	2.423	70.00	0.285
62.546	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
63.046	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
63.546	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
64.046	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
64.546	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
65.046	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
65.546	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
66.046	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
66.546	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
67.046	0.2	Adapter 3839Hz	9	3.839	70.00	0.437
70.015	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
70.515	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
71.015	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
71.515	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
72.015	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
