onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.05	Tone 270Hz	1	0.270	80.00	0.054
2.1	0.05	Tone 270Hz	1	0.270	80.00	0.054
2.2	0.2	Tone 270Hz	1	0.270	80.00	0.054
2.45	0.05	Tone 270Hz	1	0.270	80.00	0.054
2.55	0.05	Tone 270Hz	1	0.270	80.00	0.054
2.65	0.2	Tone 270Hz	1	0.270	80.00	0.054
2.9	0.05	Tone 270Hz	1	0.270	80.00	0.054
3.0	0.05	Tone 270Hz	1	0.270	80.00	0.054
3.1	0.2	Tone 270Hz	1	0.270	80.00	0.054
3.35	0.05	Tone 270Hz	1	0.270	80.00	0.054
3.45	0.2	Tone 270Hz	1	0.270	80.00	0.054
3.7	0.2	Tone 270Hz	1	0.270	80.00	0.054
3.95	0.2	Tone 270Hz	1	0.270	80.00	0.054
4.2	0.05	Tone 270Hz	1	0.270	80.00	0.054
4.3	0.2	Tone 270Hz	1	0.270	80.00	0.054
4.55	0.2	Tone 270Hz	1	0.270	80.00	0.054
4.8	0.2	Tone 270Hz	1	0.270	80.00	0.054
5.05	0.2	Tone 270Hz	1	0.270	80.00	0.054
5.3	0.05	Tone 270Hz	1	0.270	80.00	0.054
5.4	0.2	Tone 270Hz	1	0.270	80.00	0.054
5.65	0.2	Tone 270Hz	1	0.270	80.00	0.054
5.9	0.2	Tone 270Hz	1	0.270	80.00	0.054
6.15	0.2	Tone 270Hz	1	0.270	80.00	0.054
6.4	0.05	Tone 270Hz	1	0.270	80.00	0.054
6.5	0.2	Tone 270Hz	1	0.270	80.00	0.054
6.75	0.2	Tone 270Hz	1	0.270	80.00	0.054
9.488	0.05	Tone 453Hz	2	0.453	80.00	0.073
9.588	0.2	Tone 453Hz	2	0.453	80.00	0.073
9.838	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.088	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.338	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.588	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.838	0.05	Tone 453Hz	2	0.453	80.00	0.073
10.938	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.188	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.438	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.688	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.938	0.05	Tone 453Hz	2	0.453	80.00	0.073
12.038	0.2	Tone 453Hz	2	0.453	80.00	0.073
12.288	0.2	Tone 453Hz	2	0.453	80.00	0.073
12.538	0.2	Tone 453Hz	2	0.453	80.00	0.073
12.788	0.05	Tone 453Hz	2	0.453	80.00	0.073
12.888	0.05	Tone 453Hz	2	0.453	80.00	0.073
