onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
2.58	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
2.66	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
2.74	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
2.82	0.05	Adapter 899Hz Probe 3839Hz	1	3.839	70.00	0.437
3.0	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.08	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.16	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.24	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.32	0.05	Adapter 899Hz Probe 3839Hz	1	3.839	70.00	0.437
3.5	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.58	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.66	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.74	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
3.82	0.05	Adapter 899Hz Probe 3839Hz	1	3.839	70.00	0.437
4.0	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.08	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.16	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.24	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.32	0.05	Adapter 899Hz Probe 3839Hz	1	3.839	70.00	0.437
4.5	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.58	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.66	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.74	0.05	Adapter 899Hz Probe 3839Hz	1	0.899	70.00	0.121
4.82	0.05	Adapter 899Hz Probe 3839Hz	1	3.839	70.00	0.437
