onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
2.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
3.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
3.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
3.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
3.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
4.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
4.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
4.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
4.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
5.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
5.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
5.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
5.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
6.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
6.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
6.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
6.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
7.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
7.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
9.973	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
10.203	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
10.473	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
10.703	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
10.973	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
11.203	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
11.473	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
11.703	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
11.973	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
12.203	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
12.473	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
12.703	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
12.973	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
13.203	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
13.473	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
13.703	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
13.973	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
14.203	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
14.473	0.2	Adapter 2423Hz Probe 3839Hz	2	2.423	70.00	0.285
14.703	0.05	Adapter 2423Hz Probe 3839Hz	2	3.839	70.00	0.437
17.508	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
18.008	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
18.508	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
19.008	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
19.508	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
20.008	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
20.508	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
21.008	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
21.508	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
22.008	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
24.98	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
25.21	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
25.48	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
25.71	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
25.98	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
26.21	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
26.48	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
26.71	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
26.98	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
27.21	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
27.48	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
27.71	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
27.98	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
28.21	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
28.48	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
28.71	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
28.98	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
29.21	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
29.48	0.2	Adapter 1501Hz Probe 3839Hz	4	1.501	70.00	0.186
29.71	0.05	Adapter 1501Hz Probe 3839Hz	4	3.839	70.00	0.437
32.452	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
32.952	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
