onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
2.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
7.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
7.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
10.035	0.2	Adapter 507Hz	2	0.507	70.00	0.079
10.535	0.2	Adapter 507Hz	2	0.507	70.00	0.079
11.035	0.2	Adapter 507Hz	2	0.507	70.00	0.079
11.535	0.2	Adapter 507Hz	2	0.507	70.00	0.079
12.035	0.2	Adapter 507Hz	2	0.507	70.00	0.079
12.535	0.2	Adapter 507Hz	2	0.507	70.00	0.079
13.035	0.2	Adapter 507Hz	2	0.507	70.00	0.079
13.535	0.2	Adapter 507Hz	2	0.507	70.00	0.079
14.035	0.2	Adapter 507Hz	2	0.507	70.00	0.079
14.535	0.2	Adapter 507Hz	2	0.507	70.00	0.079
17.507	0.2	Adapter 251Hz	3	0.251	70.00	0.052
18.007	0.2	Adapter 251Hz	3	0.251	70.00	0.052
18.507	0.2	Adapter 251Hz	3	0.251	70.00	0.052
19.007	0.2	Adapter 251Hz	3	0.251	70.00	0.052
19.507	0.2	Adapter 251Hz	3	0.251	70.00	0.052
20.007	0.2	Adapter 251Hz	3	0.251	70.00	0.052
20.507	0.2	Adapter 251Hz	3	0.251	70.00	0.052
21.007	0.2	Adapter 251Hz	3	0.251	70.00	0.052
21.507	0.2	Adapter 251Hz	3	0.251	70.00	0.052
22.007	0.2	Adapter 251Hz	3	0.251	70.00	0.052
24.995	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
25.225	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
25.495	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
25.725	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
25.995	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
26.225	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
26.495	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
26.725	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
26.995	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
27.225	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
27.495	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
27.725	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
27.995	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
28.225	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
28.495	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
28.725	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
28.995	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
29.225	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
29.495	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
29.725	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
32.53	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
33.03	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
33.53	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
34.03	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
34.53	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
35.03	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
35.53	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
36.03	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
36.53	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
37.03	0.2	Adapter 3839Hz	5	3.839	70.00	0.437
47.506	0.2	Adapter 899Hz	7	0.899	70.00	0.121
48.006	0.2	Adapter 899Hz	7	0.899	70.00	0.121
48.506	0.2	Adapter 899Hz	7	0.899	70.00	0.121
49.006	0.2	Adapter 899Hz	7	0.899	70.00	0.121
49.506	0.2	Adapter 899Hz	7	0.899	70.00	0.121
50.006	0.2	Adapter 899Hz	7	0.899	70.00	0.121
50.506	0.2	Adapter 899Hz	7	0.899	70.00	0.121
51.006	0.2	Adapter 899Hz	7	0.899	70.00	0.121
51.506	0.2	Adapter 899Hz	7	0.899	70.00	0.121
52.006	0.2	Adapter 899Hz	7	0.899	70.00	0.121
55.056	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
55.286	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
55.556	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
55.786	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
56.056	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
56.286	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
56.556	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
56.786	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
57.056	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
57.286	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
57.556	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
57.786	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
58.056	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
58.286	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
58.556	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
58.786	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
59.056	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
59.286	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
59.556	0.2	Adapter 1501Hz Probe 3839Hz	8	1.501	70.00	0.186
59.786	0.05	Adapter 1501Hz Probe 3839Hz	8	3.839	70.00	0.437
