onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
10.035	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.115	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.195	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.275	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.535	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.615	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.695	0.05	Adapter 251Hz	2	0.251	70.00	0.052
10.775	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.035	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.115	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.195	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.275	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.535	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.615	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.695	0.05	Adapter 251Hz	2	0.251	70.00	0.052
11.775	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.035	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.115	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.195	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.275	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.535	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.615	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.695	0.05	Adapter 251Hz	2	0.251	70.00	0.052
12.775	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.035	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.115	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.195	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.275	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.535	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.615	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.695	0.05	Adapter 251Hz	2	0.251	70.00	0.052
13.775	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.035	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.115	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.195	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.275	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.535	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.615	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.695	0.05	Adapter 251Hz	2	0.251	70.00	0.052
14.775	0.05	Adapter 251Hz	2	0.251	70.00	0.052
17.523	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
17.603	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
17.683	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
17.763	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.023	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.103	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.183	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.263	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.523	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.603	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.683	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
18.763	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.023	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.103	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.183	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.263	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.523	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.603	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.683	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
19.763	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.023	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.103	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.183	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.263	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.523	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.603	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.683	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
20.763	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.023	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.103	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.183	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.263	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.523	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.603	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.683	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
21.763	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
22.023	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
22.103	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
22.183	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
22.263	0.05	Adapter 6009Hz	3	6.009	70.00	0.671
25.011	0.05	Adapter 3839Hz	4	3.839	70.00	0.437
25.091	0.05	Adapter 3839Hz	4	3.839	70.00	0.437
25.171	0.05	Adapter 3839Hz	4	3.839	70.00	0.437
25.251	0.05	Adapter 3839Hz	4	3.839	70.00	0.437
