onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.05	Tone 702Hz	1	0.702	80.00	0.100
2.1	0.2	Tone 702Hz	1	0.702	80.00	0.100
2.35	0.05	Tone 702Hz	1	0.702	80.00	0.100
2.45	0.2	Tone 702Hz	1	0.702	80.00	0.100
2.7	0.2	Tone 702Hz	1	0.702	80.00	0.100
2.95	0.05	Tone 702Hz	1	0.702	80.00	0.100
3.05	0.2	Tone 702Hz	1	0.702	80.00	0.100
3.3	0.05	Tone 702Hz	1	0.702	80.00	0.100
3.4	0.2	Tone 702Hz	1	0.702	80.00	0.100
3.65	0.2	Tone 702Hz	1	0.702	80.00	0.100
3.9	0.2	Tone 702Hz	1	0.702	80.00	0.100
4.15	0.2	Tone 702Hz	1	0.702	80.00	0.100
4.4	0.05	Tone 702Hz	1	0.702	80.00	0.100
4.5	0.2	Tone 702Hz	1	0.702	80.00	0.100
4.75	0.05	Tone 702Hz	1	0.702	80.00	0.100
4.85	0.2	Tone 702Hz	1	0.702	80.00	0.100
5.1	0.2	Tone 702Hz	1	0.702	80.00	0.100
5.35	0.05	Tone 702Hz	1	0.702	80.00	0.100
5.45	0.2	Tone 702Hz	1	0.702	80.00	0.100
5.7	0.05	Tone 702Hz	1	0.702	80.00	0.100
5.8	0.2	Tone 702Hz	1	0.702	80.00	0.100
6.05	0.2	Tone 702Hz	1	0.702	80.00	0.100
6.3	0.05	Tone 702Hz	1	0.702	80.00	0.100
6.4	0.05	Tone 702Hz	1	0.702	80.00	0.100
6.5	0.2	Tone 702Hz	1	0.702	80.00	0.100
6.75	0.2	Tone 702Hz	1	0.702	80.00	0.100
9.504	0.2	Tone 1335Hz	2	1.335	80.00	0.168
9.754	0.2	Tone 1335Hz	2	1.335	80.00	0.168
10.004	0.2	Tone 1335Hz	2	1.335	80.00	0.168
10.254	0.2	Tone 1335Hz	2	1.335	80.00	0.168
10.504	0.2	Tone 1335Hz	2	1.335	80.00	0.168
10.754	0.2	Tone 1335Hz	2	1.335	80.00	0.168
11.004	0.05	Tone 1335Hz	2	1.335	80.00	0.168
11.104	0.05	Tone 1335Hz	2	1.335	80.00	0.168
11.204	0.2	Tone 1335Hz	2	1.335	80.00	0.168
11.454	0.2	Tone 1335Hz	2	1.335	80.00	0.168
11.704	0.2	Tone 1335Hz	2	1.335	80.00	0.168
11.954	0.05	Tone 1335Hz	2	1.335	80.00	0.168
12.054	0.2	Tone 1335Hz	2	1.335	80.00	0.168
12.304	0.2	Tone 1335Hz	2	1.335	80.00	0.168
12.554	0.05	Tone 1335Hz	2	1.335	80.00	0.168
12.654	0.05	Tone 1335Hz	2	1.335	80.00	0.168
12.754	0.2	Tone 1335Hz	2	1.335	80.00	0.168
13.004	0.05	Tone 1335Hz	2	1.335	80.00	0.168
13.104	0.05	Tone 1335Hz	2	1.335	80.00	0.168
13.204	0.2	Tone 1335Hz	2	1.335	80.00	0.168
13.454	0.2	Tone 1335Hz	2	1.335	80.00	0.168
13.704	0.2	Tone 1335Hz	2	1.335	80.00	0.168
13.954	0.05	Tone 1335Hz	2	1.335	80.00	0.168
14.054	0.05	Tone 1335Hz	2	1.335	80.00	0.168
14.154	0.2	Tone 1335Hz	2	1.335	80.00	0.168
14.404	0.05	Tone 1335Hz	2	1.335	80.00	0.168
17.007	0.05	Tone 1696Hz	3	1.696	80.00	0.207
17.107	0.2	Tone 1696Hz	3	1.696	80.00	0.207
17.357	0.05	Tone 1696Hz	3	1.696	80.00	0.207
17.457	0.2	Tone 1696Hz	3	1.696	80.00	0.207
17.707	0.05	Tone 1696Hz	3	1.696	80.00	0.207
17.807	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.057	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.307	0.05	Tone 1696Hz	3	1.696	80.00	0.207
18.407	0.05	Tone 1696Hz	3	1.696	80.00	0.207
18.507	0.2	Tone 1696Hz	3	1.696	80.00	0.207
18.757	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.007	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.257	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.507	0.2	Tone 1696Hz	3	1.696	80.00	0.207
19.757	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.007	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.257	0.05	Tone 1696Hz	3	1.696	80.00	0.207
20.357	0.05	Tone 1696Hz	3	1.696	80.00	0.207
20.457	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.707	0.2	Tone 1696Hz	3	1.696	80.00	0.207
20.957	0.05	Tone 1696Hz	3	1.696	80.00	0.207
21.057	0.05	Tone 1696Hz	3	1.696	80.00	0.207
21.157	0.2	Tone 1696Hz	3	1.696	80.00	0.207
21.407	0.2	Tone 1696Hz	3	1.696	80.00	0.207
21.657	0.2	Tone 1696Hz	3	1.696	80.00	0.207
21.907	0.05	Tone 1696Hz	3	1.696	80.00	0.207
24.511	0.2	Tone 8012Hz	4	8.012	80.00	0.886
24.761	0.2	Tone 8012Hz	4	8.012	80.00	0.886
25.011	0.2	Tone 8012Hz	4	8.012	80.00	0.886
25.261	0.2	Tone 8012Hz	4	8.012	80.00	0.886
25.511	0.05	Tone 8012Hz	4	8.012	80.00	0.886
25.611	0.2	Tone 8012Hz	4	8.012	80.00	0.886
25.861	0.05	Tone 8012Hz	4	8.012	80.00	0.886
25.961	0.05	Tone 8012Hz	4	8.012	80.00	0.886
26.061	0.05	Tone 8012Hz	4	8.012	80.00	0.886
26.161	0.2	Tone 8012Hz	4	8.012	80.00	0.886
26.411	0.2	Tone 8012Hz	4	8.012	80.00	0.886
26.661	0.05	Tone 8012Hz	4	8.012	80.00	0.886
26.761	0.2	Tone 8012Hz	4	8.012	80.00	0.886
27.011	0.05	Tone 8012Hz	4	8.012	80.00	0.886
27.111	0.2	Tone 8012Hz	4	8.012	80.00	0.886
27.361	0.2	Tone 8012Hz	4	8.012	80.00	0.886
27.611	0.05	Tone 8012Hz	4	8.012	80.00	0.886
27.711	0.2	Tone 8012Hz	4	8.012	80.00	0.886
27.961	0.05	Tone 8012Hz	4	8.012	80.00	0.886
28.061	0.2	Tone 8012Hz	4	8.012	80.00	0.886
28.311	0.2	Tone 8012Hz	4	8.012	80.00	0.886
28.561	0.05	Tone 8012Hz	4	8.012	80.00	0.886
28.661	0.2	Tone 8012Hz	4	8.012	80.00	0.886
28.911	0.05	Tone 8012Hz	4	8.012	80.00	0.886
29.011	0.2	Tone 8012Hz	4	8.012	80.00	0.886
29.261	0.2	Tone 8012Hz	4	8.012	80.00	0.886
31.999	0.2	Tone 4190Hz	5	4.190	80.00	0.475
32.249	0.2	Tone 4190Hz	5	4.190	80.00	0.475
32.499	0.05	Tone 4190Hz	5	4.190	80.00	0.475
32.599	0.2	Tone 4190Hz	5	4.190	80.00	0.475
32.849	0.2	Tone 4190Hz	5	4.190	80.00	0.475
33.099	0.2	Tone 4190Hz	5	4.190	80.00	0.475
33.349	0.05	Tone 4190Hz	5	4.190	80.00	0.475
33.449	0.2	Tone 4190Hz	5	4.190	80.00	0.475
33.699	0.2	Tone 4190Hz	5	4.190	80.00	0.475
33.949	0.2	Tone 4190Hz	5	4.190	80.00	0.475
34.199	0.05	Tone 4190Hz	5	4.190	80.00	0.475
34.299	0.05	Tone 4190Hz	5	4.190	80.00	0.475
34.399	0.2	Tone 4190Hz	5	4.190	80.00	0.475
34.649	0.2	Tone 4190Hz	5	4.190	80.00	0.475
34.899	0.2	Tone 4190Hz	5	4.190	80.00	0.475
35.149	0.2	Tone 4190Hz	5	4.190	80.00	0.475
35.399	0.05	Tone 4190Hz	5	4.190	80.00	0.475
35.499	0.2	Tone 4190Hz	5	4.190	80.00	0.475
