onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
17.532	0.2	Adapter 899Hz	3	0.899	70.00	0.121
18.032	0.2	Adapter 899Hz	3	0.899	70.00	0.121
18.532	0.2	Adapter 899Hz	3	0.899	70.00	0.121
19.032	0.2	Adapter 899Hz	3	0.899	70.00	0.121
19.532	0.2	Adapter 899Hz	3	0.899	70.00	0.121
20.032	0.2	Adapter 899Hz	3	0.899	70.00	0.121
20.532	0.2	Adapter 899Hz	3	0.899	70.00	0.121
21.032	0.2	Adapter 899Hz	3	0.899	70.00	0.121
21.532	0.2	Adapter 899Hz	3	0.899	70.00	0.121
22.032	0.2	Adapter 899Hz	3	0.899	70.00	0.121
25.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
25.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
26.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
26.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
27.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
27.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
28.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
28.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
29.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
29.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
32.5	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
32.73	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
33.0	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
33.23	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
33.5	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
33.73	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
34.0	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
34.23	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
34.5	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
34.73	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
35.0	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
35.23	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
35.5	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
35.73	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
36.0	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
36.23	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
36.5	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
36.73	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
37.0	0.2	Adapter 2423Hz Probe 3839Hz	5	2.423	70.00	0.285
37.23	0.05	Adapter 2423Hz Probe 3839Hz	5	3.839	70.00	0.437
40.032	0.2	Adapter 507Hz	6	0.507	70.00	0.079
40.532	0.2	Adapter 507Hz	6	0.507	70.00	0.079
41.032	0.2	Adapter 507Hz	6	0.507	70.00	0.079
41.532	0.2	Adapter 507Hz	6	0.507	70.00	0.079
42.032	0.2	Adapter 507Hz	6	0.507	70.00	0.079
42.532	0.2	Adapter 507Hz	6	0.507	70.00	0.079
43.032	0.2	Adapter 507Hz	6	0.507	70.00	0.079
43.532	0.2	Adapter 507Hz	6	0.507	70.00	0.079
44.032	0.2	Adapter 507Hz	6	0.507	70.00	0.079
44.532	0.2	Adapter 507Hz	6	0.507	70.00	0.079
47.532	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
47.762	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
48.032	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
48.262	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
48.532	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
48.762	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
49.032	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
49.262	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
49.532	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
49.762	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
50.032	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
50.262	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
50.532	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
50.762	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
51.032	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
51.262	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
51.532	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
51.762	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
52.032	0.2	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
52.262	0.05	Adapter 3839Hz Probe 3839Hz	7	3.839	70.00	0.437
54.985	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
55.485	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
55.985	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
56.485	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
56.985	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
57.485	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
57.985	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
58.485	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
58.985	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
59.485	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
62.73	0.05	Probe 3839Hz	9	3.839	70.00	0.437
63.23	0.05	Probe 3839Hz	9	3.839	70.00	0.437
63.73	0.05	Probe 3839Hz	9	3.839	70.00	0.437
64.23	0.05	Probe 3839Hz	9	3.839	70.00	0.437
64.73	0.05	Probe 3839Hz	9	3.839	70.00	0.437
65.23	0.05	Probe 3839Hz	9	3.839	70.00	0.437
65.73	0.05	Probe 3839Hz	9	3.839	70.00	0.437
66.23	0.05	Probe 3839Hz	9	3.839	70.00	0.437
66.73	0.05	Probe 3839Hz	9	3.839	70.00	0.437
67.23	0.05	Probe 3839Hz	9	3.839	70.00	0.437
70.0	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
70.23	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
70.5	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
70.73	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
71.0	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
71.23	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
71.5	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
71.73	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
72.0	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
72.23	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
72.5	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
72.73	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
73.0	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
73.23	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
73.5	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
73.73	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
74.0	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
74.23	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
74.5	0.2	Adapter 899Hz Probe 3839Hz	10	0.899	70.00	0.121
74.73	0.05	Adapter 899Hz Probe 3839Hz	10	3.839	70.00	0.437
85.032	0.2	Adapter 1501Hz Probe 3839Hz	12	1.501	70.00	0.186
