onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
3.0	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
3.5	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
4.0	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
4.5	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
5.0	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
5.5	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
6.0	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
6.5	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
7.0	0.2	Adapter 6009Hz	1	6.009	70.00	0.671
17.469	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
17.969	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
18.469	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
18.969	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
19.469	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
19.969	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
20.469	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
20.969	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
21.469	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
21.969	0.2	Adapter 2423Hz	3	2.423	70.00	0.285
25.0	0.2	Adapter 507Hz	4	0.507	70.00	0.079
25.5	0.2	Adapter 507Hz	4	0.507	70.00	0.079
26.0	0.2	Adapter 507Hz	4	0.507	70.00	0.079
26.5	0.2	Adapter 507Hz	4	0.507	70.00	0.079
27.0	0.2	Adapter 507Hz	4	0.507	70.00	0.079
27.5	0.2	Adapter 507Hz	4	0.507	70.00	0.079
28.0	0.2	Adapter 507Hz	4	0.507	70.00	0.079
28.5	0.2	Adapter 507Hz	4	0.507	70.00	0.079
29.0	0.2	Adapter 507Hz	4	0.507	70.00	0.079
29.5	0.2	Adapter 507Hz	4	0.507	70.00	0.079
32.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
32.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
33.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
33.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
33.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
33.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
34.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
34.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
34.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
34.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
35.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
35.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
35.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
35.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
36.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
36.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
36.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
