onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
3.0	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
3.5	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
4.0	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
4.5	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
5.0	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
5.5	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
6.0	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
6.5	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
7.0	0.2	Adapter 1501Hz	1	1.501	70.00	0.186
10.0	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
10.23	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
10.5	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
10.73	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
11.0	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
11.23	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
11.5	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
11.73	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
12.0	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
12.23	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
12.5	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
12.73	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
13.0	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
13.23	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
13.5	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
13.73	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
14.0	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
14.23	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
14.5	0.2	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
14.73	0.05	Adapter 3839Hz Probe 3839Hz	2	3.839	70.00	0.437
17.531	0.2	Adapter 251Hz	3	0.251	70.00	0.052
18.031	0.2	Adapter 251Hz	3	0.251	70.00	0.052
18.531	0.2	Adapter 251Hz	3	0.251	70.00	0.052
19.031	0.2	Adapter 251Hz	3	0.251	70.00	0.052
19.531	0.2	Adapter 251Hz	3	0.251	70.00	0.052
20.031	0.2	Adapter 251Hz	3	0.251	70.00	0.052
20.531	0.2	Adapter 251Hz	3	0.251	70.00	0.052
21.031	0.2	Adapter 251Hz	3	0.251	70.00	0.052
21.531	0.2	Adapter 251Hz	3	0.251	70.00	0.052
22.031	0.2	Adapter 251Hz	3	0.251	70.00	0.052
25.0	0.2	Adapter 899Hz	4	0.899	70.00	0.121
