onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 899Hz	1	0.899	70.00	0.121
3.0	0.2	Adapter 899Hz	1	0.899	70.00	0.121
3.5	0.2	Adapter 899Hz	1	0.899	70.00	0.121
4.0	0.2	Adapter 899Hz	1	0.899	70.00	0.121
4.5	0.2	Adapter 899Hz	1	0.899	70.00	0.121
5.0	0.2	Adapter 899Hz	1	0.899	70.00	0.121
5.5	0.2	Adapter 899Hz	1	0.899	70.00	0.121
6.0	0.2	Adapter 899Hz	1	0.899	70.00	0.121
6.5	0.2	Adapter 899Hz	1	0.899	70.00	0.121
7.0	0.2	Adapter 899Hz	1	0.899	70.00	0.121
10.199	0.05	Probe 3839Hz	2	3.839	70.00	0.437
10.699	0.05	Probe 3839Hz	2	3.839	70.00	0.437
11.199	0.05	Probe 3839Hz	2	3.839	70.00	0.437
11.699	0.05	Probe 3839Hz	2	3.839	70.00	0.437
12.199	0.05	Probe 3839Hz	2	3.839	70.00	0.437
12.699	0.05	Probe 3839Hz	2	3.839	70.00	0.437
13.199	0.05	Probe 3839Hz	2	3.839	70.00	0.437
13.699	0.05	Probe 3839Hz	2	3.839	70.00	0.437
14.199	0.05	Probe 3839Hz	2	3.839	70.00	0.437
14.699	0.05	Probe 3839Hz	2	3.839	70.00	0.437
17.469	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
17.699	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
17.969	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
18.199	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
18.469	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
18.699	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
18.969	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
19.199	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
19.469	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
19.699	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
19.969	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
20.199	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
20.469	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
20.699	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
20.969	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
21.199	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
21.469	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
21.699	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
21.969	0.2	Adapter 899Hz Probe 3839Hz	3	0.899	70.00	0.121
22.199	0.05	Adapter 899Hz Probe 3839Hz	3	3.839	70.00	0.437
24.969	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
25.199	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
25.469	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
25.699	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
25.969	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
26.199	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
26.469	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
26.699	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
26.969	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
27.199	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
27.469	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
27.699	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
27.969	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
28.199	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
28.469	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
28.699	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
28.969	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
29.199	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
29.469	0.2	Adapter 2423Hz Probe 3839Hz	4	2.423	70.00	0.285
29.699	0.05	Adapter 2423Hz Probe 3839Hz	4	3.839	70.00	0.437
32.5	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
33.0	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
33.5	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
34.0	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
34.5	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
35.0	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
35.5	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
36.0	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
36.5	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
37.0	0.2	Adapter 1501Hz	5	1.501	70.00	0.186
55.016	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
55.516	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
56.016	0.2	Adapter 6009Hz	8	6.009	70.00	0.671
