onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
2.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
3.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
4.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
5.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.5	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
6.73	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
7.0	0.2	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
7.23	0.05	Adapter 3839Hz Probe 3839Hz	1	3.839	70.00	0.437
10.0	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
10.23	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
10.5	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
10.73	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
11.0	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
11.23	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
11.5	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
11.73	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
12.0	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
12.23	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
12.5	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
12.73	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
13.0	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
13.23	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
13.5	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
13.73	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
14.0	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
14.23	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
14.5	0.2	Adapter 1501Hz Probe 3839Hz	2	1.501	70.00	0.186
14.73	0.05	Adapter 1501Hz Probe 3839Hz	2	3.839	70.00	0.437
17.532	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
18.032	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
18.532	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
19.032	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
19.532	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
20.032	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
20.532	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
21.032	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
21.532	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
22.032	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
25.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
25.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
26.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
26.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
27.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
27.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
28.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
28.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
29.0	0.2	Adapter 251Hz	4	0.251	70.00	0.052
29.5	0.2	Adapter 251Hz	4	0.251	70.00	0.052
32.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
32.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
33.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
33.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
33.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
33.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
34.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
34.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
34.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
34.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
35.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
35.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
35.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
35.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
36.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
36.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
36.5	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
36.73	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
37.0	0.2	Adapter 899Hz Probe 3839Hz	5	0.899	70.00	0.121
37.23	0.05	Adapter 899Hz Probe 3839Hz	5	3.839	70.00	0.437
40.032	0.2	Adapter 899Hz	6	0.899	70.00	0.121
40.532	0.2	Adapter 899Hz	6	0.899	70.00	0.121
41.032	0.2	Adapter 899Hz	6	0.899	70.00	0.121
41.532	0.2	Adapter 899Hz	6	0.899	70.00	0.121
42.032	0.2	Adapter 899Hz	6	0.899	70.00	0.121
42.532	0.2	Adapter 899Hz	6	0.899	70.00	0.121
43.032	0.2	Adapter 899Hz	6	0.899	70.00	0.121
43.532	0.2	Adapter 899Hz	6	0.899	70.00	0.121
44.032	0.2	Adapter 899Hz	6	0.899	70.00	0.121
44.532	0.2	Adapter 899Hz	6	0.899	70.00	0.121
55.016	0.2	Adapter 507Hz Probe 3839Hz	8	0.507	70.00	0.079
55.246	0.05	Adapter 507Hz Probe 3839Hz	8	3.839	70.00	0.437
55.516	0.2	Adapter 507Hz Probe 3839Hz	8	0.507	70.00	0.079
55.746	0.05	Adapter 507Hz Probe 3839Hz	8	3.839	70.00	0.437
56.016	0.2	Adapter 507Hz Probe 3839Hz	8	0.507	70.00	0.079
56.246	0.05	Adapter 507Hz Probe 3839Hz	8	3.839	70.00	0.437
56.516	0.2	Adapter 507Hz Probe 3839Hz	8	0.507	70.00	0.079
56.746	0.05	Adapter 507Hz Probe 3839Hz	8	3.839	70.00	0.437
