onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.2	Tone 1907Hz	1	1.907	80.00	0.230
2.25	0.05	Tone 1907Hz	1	1.907	80.00	0.230
2.35	0.2	Tone 1907Hz	1	1.907	80.00	0.230
2.6	0.2	Tone 1907Hz	1	1.907	80.00	0.230
2.85	0.2	Tone 1907Hz	1	1.907	80.00	0.230
3.1	0.05	Tone 1907Hz	1	1.907	80.00	0.230
3.2	0.2	Tone 1907Hz	1	1.907	80.00	0.230
3.45	0.2	Tone 1907Hz	1	1.907	80.00	0.230
3.7	0.2	Tone 1907Hz	1	1.907	80.00	0.230
3.95	0.2	Tone 1907Hz	1	1.907	80.00	0.230
4.2	0.05	Tone 1907Hz	1	1.907	80.00	0.230
4.3	0.05	Tone 1907Hz	1	1.907	80.00	0.230
4.4	0.2	Tone 1907Hz	1	1.907	80.00	0.230
4.65	0.2	Tone 1907Hz	1	1.907	80.00	0.230
4.9	0.2	Tone 1907Hz	1	1.907	80.00	0.230
5.15	0.2	Tone 1907Hz	1	1.907	80.00	0.230
5.4	0.2	Tone 1907Hz	1	1.907	80.00	0.230
5.65	0.05	Tone 1907Hz	1	1.907	80.00	0.230
5.75	0.05	Tone 1907Hz	1	1.907	80.00	0.230
5.85	0.05	Tone 1907Hz	1	1.907	80.00	0.230
5.95	0.05	Tone 1907Hz	1	1.907	80.00	0.230
6.05	0.2	Tone 1907Hz	1	1.907	80.00	0.230
6.3	0.2	Tone 1907Hz	1	1.907	80.00	0.230
6.55	0.05	Tone 1907Hz	1	1.907	80.00	0.230
6.65	0.2	Tone 1907Hz	1	1.907	80.00	0.230
6.9	0.05	Tone 1907Hz	1	1.907	80.00	0.230
9.488	0.2	Tone 325Hz	2	0.325	80.00	0.060
9.738	0.2	Tone 325Hz	2	0.325	80.00	0.060
9.988	0.2	Tone 325Hz	2	0.325	80.00	0.060
10.238	0.05	Tone 325Hz	2	0.325	80.00	0.060
10.338	0.2	Tone 325Hz	2	0.325	80.00	0.060
10.588	0.2	Tone 325Hz	2	0.325	80.00	0.060
10.838	0.05	Tone 325Hz	2	0.325	80.00	0.060
10.938	0.2	Tone 325Hz	2	0.325	80.00	0.060
11.188	0.2	Tone 325Hz	2	0.325	80.00	0.060
11.438	0.2	Tone 325Hz	2	0.325	80.00	0.060
11.688	0.05	Tone 325Hz	2	0.325	80.00	0.060
11.788	0.2	Tone 325Hz	2	0.325	80.00	0.060
12.038	0.2	Tone 325Hz	2	0.325	80.00	0.060
12.288	0.2	Tone 325Hz	2	0.325	80.00	0.060
12.538	0.2	Tone 325Hz	2	0.325	80.00	0.060
12.788	0.2	Tone 325Hz	2	0.325	80.00	0.060
13.038	0.05	Tone 325Hz	2	0.325	80.00	0.060
13.138	0.2	Tone 325Hz	2	0.325	80.00	0.060
13.388	0.2	Tone 325Hz	2	0.325	80.00	0.060
13.638	0.05	Tone 325Hz	2	0.325	80.00	0.060
13.738	0.05	Tone 325Hz	2	0.325	80.00	0.060
13.838	0.05	Tone 325Hz	2	0.325	80.00	0.060
13.938	0.2	Tone 325Hz	2	0.325	80.00	0.060
14.188	0.05	Tone 325Hz	2	0.325	80.00	0.060
14.288	0.05	Tone 325Hz	2	0.325	80.00	0.060
14.388	0.05	Tone 325Hz	2	0.325	80.00	0.060
16.992	0.2	Tone 3007Hz	3	3.007	80.00	0.348
17.242	0.05	Tone 3007Hz	3	3.007	80.00	0.348
17.342	0.05	Tone 3007Hz	3	3.007	80.00	0.348
17.442	0.2	Tone 3007Hz	3	3.007	80.00	0.348
17.692	0.2	Tone 3007Hz	3	3.007	80.00	0.348
17.942	0.2	Tone 3007Hz	3	3.007	80.00	0.348
18.192	0.2	Tone 3007Hz	3	3.007	80.00	0.348
18.442	0.05	Tone 3007Hz	3	3.007	80.00	0.348
18.542	0.2	Tone 3007Hz	3	3.007	80.00	0.348
18.792	0.2	Tone 3007Hz	3	3.007	80.00	0.348
19.042	0.2	Tone 3007Hz	3	3.007	80.00	0.348
19.292	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.392	0.2	Tone 3007Hz	3	3.007	80.00	0.348
19.642	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.742	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.842	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.942	0.05	Tone 3007Hz	3	3.007	80.00	0.348
20.042	0.2	Tone 3007Hz	3	3.007	80.00	0.348
20.292	0.2	Tone 3007Hz	3	3.007	80.00	0.348
20.542	0.05	Tone 3007Hz	3	3.007	80.00	0.348
20.642	0.2	Tone 3007Hz	3	3.007	80.00	0.348
20.892	0.05	Tone 3007Hz	3	3.007	80.00	0.348
20.992	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.242	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.492	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.742	0.2	Tone 3007Hz	3	3.007	80.00	0.348
24.48	0.2	Tone 5806Hz	4	5.806	80.00	0.649
24.73	0.2	Tone 5806Hz	4	5.806	80.00	0.649
24.98	0.2	Tone 5806Hz	4	5.806	80.00	0.649
25.23	0.05	Tone 5806Hz	4	5.806	80.00	0.649
25.33	0.05	Tone 5806Hz	4	5.806	80.00	0.649
25.43	0.2	Tone 5806Hz	4	5.806	80.00	0.649
25.68	0.2	Tone 5806Hz	4	5.806	80.00	0.649
25.93	0.2	Tone 5806Hz	4	5.806	80.00	0.649
26.18	0.05	Tone 5806Hz	4	5.806	80.00	0.649
26.28	0.2	Tone 5806Hz	4	5.806	80.00	0.649
26.53	0.05	Tone 5806Hz	4	5.806	80.00	0.649
26.63	0.05	Tone 5806Hz	4	5.806	80.00	0.649
26.73	0.2	Tone 5806Hz	4	5.806	80.00	0.649
26.98	0.2	Tone 5806Hz	4	5.806	80.00	0.649
27.23	0.2	Tone 5806Hz	4	5.806	80.00	0.649
