onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.82	0.05	Probe 3839Hz	1	3.839	70.00	0.437
3.32	0.05	Probe 3839Hz	1	3.839	70.00	0.437
3.82	0.05	Probe 3839Hz	1	3.839	70.00	0.437
4.32	0.05	Probe 3839Hz	1	3.839	70.00	0.437
4.82	0.05	Probe 3839Hz	1	3.839	70.00	0.437
5.32	0.05	Probe 3839Hz	1	3.839	70.00	0.437
5.82	0.05	Probe 3839Hz	1	3.839	70.00	0.437
6.32	0.05	Probe 3839Hz	1	3.839	70.00	0.437
6.82	0.05	Probe 3839Hz	1	3.839	70.00	0.437
7.32	0.05	Probe 3839Hz	1	3.839	70.00	0.437
17.538	0.05	Adapter 899Hz	3	0.899	70.00	0.121
17.618	0.05	Adapter 899Hz	3	0.899	70.00	0.121
17.698	0.05	Adapter 899Hz	3	0.899	70.00	0.121
17.778	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.038	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.118	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.198	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.278	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.538	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.618	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.698	0.05	Adapter 899Hz	3	0.899	70.00	0.121
18.778	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.038	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.118	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.198	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.278	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.538	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.618	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.698	0.05	Adapter 899Hz	3	0.899	70.00	0.121
19.778	0.05	Adapter 899Hz	3	0.899	70.00	0.121
20.038	0.05	Adapter 899Hz	3	0.899	70.00	0.121
20.118	0.05	Adapter 899Hz	3	0.899	70.00	0.121
20.198	0.05	Adapter 899Hz	3	0.899	70.00	0.121
20.278	0.05	Adapter 899Hz	3	0.899	70.00	0.121
20.538	0.05	Adapter 899Hz	3	0.899	70.00	0.121
