onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.2	Tone 1506Hz	1	1.506	80.00	0.187
2.25	0.05	Tone 1506Hz	1	1.506	80.00	0.187
2.35	0.05	Tone 1506Hz	1	1.506	80.00	0.187
2.45	0.05	Tone 1506Hz	1	1.506	80.00	0.187
2.55	0.2	Tone 1506Hz	1	1.506	80.00	0.187
2.8	0.2	Tone 1506Hz	1	1.506	80.00	0.187
3.05	0.2	Tone 1506Hz	1	1.506	80.00	0.187
3.3	0.2	Tone 1506Hz	1	1.506	80.00	0.187
3.55	0.05	Tone 1506Hz	1	1.506	80.00	0.187
3.65	0.2	Tone 1506Hz	1	1.506	80.00	0.187
3.9	0.2	Tone 1506Hz	1	1.506	80.00	0.187
4.15	0.2	Tone 1506Hz	1	1.506	80.00	0.187
4.4	0.2	Tone 1506Hz	1	1.506	80.00	0.187
4.65	0.2	Tone 1506Hz	1	1.506	80.00	0.187
4.9	0.05	Tone 1506Hz	1	1.506	80.00	0.187
5.0	0.05	Tone 1506Hz	1	1.506	80.00	0.187
5.1	0.2	Tone 1506Hz	1	1.506	80.00	0.187
5.35	0.05	Tone 1506Hz	1	1.506	80.00	0.187
5.45	0.2	Tone 1506Hz	1	1.506	80.00	0.187
5.7	0.2	Tone 1506Hz	1	1.506	80.00	0.187
5.95	0.05	Tone 1506Hz	1	1.506	80.00	0.187
6.05	0.05	Tone 1506Hz	1	1.506	80.00	0.187
6.15	0.2	Tone 1506Hz	1	1.506	80.00	0.187
6.4	0.05	Tone 1506Hz	1	1.506	80.00	0.187
6.5	0.2	Tone 1506Hz	1	1.506	80.00	0.187
6.75	0.2	Tone 1506Hz	1	1.506	80.00	0.187
9.504	0.05	Tone 916Hz	2	0.916	80.00	0.123
9.604	0.05	Tone 916Hz	2	0.916	80.00	0.123
9.704	0.2	Tone 916Hz	2	0.916	80.00	0.123
9.954	0.2	Tone 916Hz	2	0.916	80.00	0.123
10.204	0.05	Tone 916Hz	2	0.916	80.00	0.123
10.304	0.05	Tone 916Hz	2	0.916	80.00	0.123
10.404	0.05	Tone 916Hz	2	0.916	80.00	0.123
10.504	0.2	Tone 916Hz	2	0.916	80.00	0.123
10.754	0.05	Tone 916Hz	2	0.916	80.00	0.123
10.854	0.2	Tone 916Hz	2	0.916	80.00	0.123
11.104	0.05	Tone 916Hz	2	0.916	80.00	0.123
11.204	0.2	Tone 916Hz	2	0.916	80.00	0.123
11.454	0.05	Tone 916Hz	2	0.916	80.00	0.123
11.554	0.05	Tone 916Hz	2	0.916	80.00	0.123
11.654	0.2	Tone 916Hz	2	0.916	80.00	0.123
11.904	0.2	Tone 916Hz	2	0.916	80.00	0.123
12.154	0.2	Tone 916Hz	2	0.916	80.00	0.123
12.404	0.2	Tone 916Hz	2	0.916	80.00	0.123
12.654	0.2	Tone 916Hz	2	0.916	80.00	0.123
12.904	0.2	Tone 916Hz	2	0.916	80.00	0.123
13.154	0.05	Tone 916Hz	2	0.916	80.00	0.123
13.254	0.2	Tone 916Hz	2	0.916	80.00	0.123
13.504	0.2	Tone 916Hz	2	0.916	80.00	0.123
13.754	0.2	Tone 916Hz	2	0.916	80.00	0.123
14.004	0.2	Tone 916Hz	2	0.916	80.00	0.123
14.254	0.2	Tone 916Hz	2	0.916	80.00	0.123
16.992	0.2	Tone 4190Hz	3	4.190	80.00	0.475
17.242	0.2	Tone 4190Hz	3	4.190	80.00	0.475
17.492	0.2	Tone 4190Hz	3	4.190	80.00	0.475
17.742	0.2	Tone 4190Hz	3	4.190	80.00	0.475
17.992	0.2	Tone 4190Hz	3	4.190	80.00	0.475
18.242	0.2	Tone 4190Hz	3	4.190	80.00	0.475
18.492	0.05	Tone 4190Hz	3	4.190	80.00	0.475
18.592	0.05	Tone 4190Hz	3	4.190	80.00	0.475
18.692	0.2	Tone 4190Hz	3	4.190	80.00	0.475
18.942	0.05	Tone 4190Hz	3	4.190	80.00	0.475
19.042	0.05	Tone 4190Hz	3	4.190	80.00	0.475
19.142	0.2	Tone 4190Hz	3	4.190	80.00	0.475
19.392	0.05	Tone 4190Hz	3	4.190	80.00	0.475
19.492	0.2	Tone 4190Hz	3	4.190	80.00	0.475
19.742	0.2	Tone 4190Hz	3	4.190	80.00	0.475
19.992	0.2	Tone 4190Hz	3	4.190	80.00	0.475
20.242	0.05	Tone 4190Hz	3	4.190	80.00	0.475
20.342	0.2	Tone 4190Hz	3	4.190	80.00	0.475
20.592	0.05	Tone 4190Hz	3	4.190	80.00	0.475
20.692	0.05	Tone 4190Hz	3	4.190	80.00	0.475
20.792	0.05	Tone 4190Hz	3	4.190	80.00	0.475
20.892	0.2	Tone 4190Hz	3	4.190	80.00	0.475
21.142	0.05	Tone 4190Hz	3	4.190	80.00	0.475
21.242	0.2	Tone 4190Hz	3	4.190	80.00	0.475
21.492	0.2	Tone 4190Hz	3	4.190	80.00	0.475
21.742	0.2	Tone 4190Hz	3	4.190	80.00	0.475
24.495	0.2	Tone 1042Hz	4	1.042	80.00	0.137
24.745	0.05	Tone 1042Hz	4	1.042	80.00	0.137
24.845	0.05	Tone 1042Hz	4	1.042	80.00	0.137
24.945	0.2	Tone 1042Hz	4	1.042	80.00	0.137
25.195	0.2	Tone 1042Hz	4	1.042	80.00	0.137
25.445	0.2	Tone 1042Hz	4	1.042	80.00	0.137
25.695	0.2	Tone 1042Hz	4	1.042	80.00	0.137
25.945	0.2	Tone 1042Hz	4	1.042	80.00	0.137
26.195	0.2	Tone 1042Hz	4	1.042	80.00	0.137
26.445	0.05	Tone 1042Hz	4	1.042	80.00	0.137
26.545	0.05	Tone 1042Hz	4	1.042	80.00	0.137
26.645	0.05	Tone 1042Hz	4	1.042	80.00	0.137
26.745	0.05	Tone 1042Hz	4	1.042	80.00	0.137
26.845	0.05	Tone 1042Hz	4	1.042	80.00	0.137
26.945	0.2	Tone 1042Hz	4	1.042	80.00	0.137
27.195	0.2	Tone 1042Hz	4	1.042	80.00	0.137
27.445	0.2	Tone 1042Hz	4	1.042	80.00	0.137
27.695	0.2	Tone 1042Hz	4	1.042	80.00	0.137
27.945	0.05	Tone 1042Hz	4	1.042	80.00	0.137
28.045	0.2	Tone 1042Hz	4	1.042	80.00	0.137
28.295	0.2	Tone 1042Hz	4	1.042	80.00	0.137
28.545	0.2	Tone 1042Hz	4	1.042	80.00	0.137
28.795	0.05	Tone 1042Hz	4	1.042	80.00	0.137
28.895	0.2	Tone 1042Hz	4	1.042	80.00	0.137
29.145	0.05	Tone 1042Hz	4	1.042	80.00	0.137
29.245	0.2	Tone 1042Hz	4	1.042	80.00	0.137
31.999	0.2	Tone 137Hz	5	0.137	80.00	0.039
32.249	0.05	Tone 137Hz	5	0.137	80.00	0.039
32.349	0.05	Tone 137Hz	5	0.137	80.00	0.039
32.449	0.2	Tone 137Hz	5	0.137	80.00	0.039
32.699	0.2	Tone 137Hz	5	0.137	80.00	0.039
32.949	0.2	Tone 137Hz	5	0.137	80.00	0.039
33.199	0.2	Tone 137Hz	5	0.137	80.00	0.039
33.449	0.2	Tone 137Hz	5	0.137	80.00	0.039
33.699	0.2	Tone 137Hz	5	0.137	80.00	0.039
33.949	0.2	Tone 137Hz	5	0.137	80.00	0.039
34.199	0.2	Tone 137Hz	5	0.137	80.00	0.039
34.449	0.05	Tone 137Hz	5	0.137	80.00	0.039
34.549	0.05	Tone 137Hz	5	0.137	80.00	0.039
34.649	0.2	Tone 137Hz	5	0.137	80.00	0.039
34.899	0.05	Tone 137Hz	5	0.137	80.00	0.039
34.999	0.05	Tone 137Hz	5	0.137	80.00	0.039
35.099	0.05	Tone 137Hz	5	0.137	80.00	0.039
35.199	0.2	Tone 137Hz	5	0.137	80.00	0.039
35.449	0.2	Tone 137Hz	5	0.137	80.00	0.039
35.699	0.2	Tone 137Hz	5	0.137	80.00	0.039
35.949	0.05	Tone 137Hz	5	0.137	80.00	0.039
36.049	0.2	Tone 137Hz	5	0.137	80.00	0.039
36.299	0.2	Tone 137Hz	5	0.137	80.00	0.039
36.549	0.05	Tone 137Hz	5	0.137	80.00	0.039
36.649	0.05	Tone 137Hz	5	0.137	80.00	0.039
36.749	0.2	Tone 137Hz	5	0.137	80.00	0.039
39.503	0.05	Tone 325Hz	6	0.325	80.00	0.060
39.603	0.05	Tone 325Hz	6	0.325	80.00	0.060
39.703	0.2	Tone 325Hz	6	0.325	80.00	0.060
39.953	0.05	Tone 325Hz	6	0.325	80.00	0.060
40.053	0.2	Tone 325Hz	6	0.325	80.00	0.060
40.303	0.2	Tone 325Hz	6	0.325	80.00	0.060
40.553	0.2	Tone 325Hz	6	0.325	80.00	0.060
40.803	0.2	Tone 325Hz	6	0.325	80.00	0.060
41.053	0.05	Tone 325Hz	6	0.325	80.00	0.060
41.153	0.2	Tone 325Hz	6	0.325	80.00	0.060
41.403	0.2	Tone 325Hz	6	0.325	80.00	0.060
41.653	0.2	Tone 325Hz	6	0.325	80.00	0.060
41.903	0.05	Tone 325Hz	6	0.325	80.00	0.060
42.003	0.05	Tone 325Hz	6	0.325	80.00	0.060
42.103	0.2	Tone 325Hz	6	0.325	80.00	0.060
42.353	0.05	Tone 325Hz	6	0.325	80.00	0.060
42.453	0.2	Tone 325Hz	6	0.325	80.00	0.060
42.703	0.2	Tone 325Hz	6	0.325	80.00	0.060
42.953	0.2	Tone 325Hz	6	0.325	80.00	0.060
43.203	0.2	Tone 325Hz	6	0.325	80.00	0.060
43.453	0.2	Tone 325Hz	6	0.325	80.00	0.060
43.703	0.05	Tone 325Hz	6	0.325	80.00	0.060
43.803	0.2	Tone 325Hz	6	0.325	80.00	0.060
44.053	0.2	Tone 325Hz	6	0.325	80.00	0.060
44.303	0.05	Tone 325Hz	6	0.325	80.00	0.060
44.403	0.05	Tone 325Hz	6	0.325	80.00	0.060
46.991	0.2	Tone 4190Hz	7	4.190	80.00	0.475
47.241	0.2	Tone 4190Hz	7	4.190	80.00	0.475
47.491	0.2	Tone 4190Hz	7	4.190	80.00	0.475
47.741	0.2	Tone 4190Hz	7	4.190	80.00	0.475
47.991	0.2	Tone 4190Hz	7	4.190	80.00	0.475
48.241	0.2	Tone 4190Hz	7	4.190	80.00	0.475
48.491	0.05	Tone 4190Hz	7	4.190	80.00	0.475
48.591	0.05	Tone 4190Hz	7	4.190	80.00	0.475
48.691	0.2	Tone 4190Hz	7	4.190	80.00	0.475
48.941	0.05	Tone 4190Hz	7	4.190	80.00	0.475
49.041	0.05	Tone 4190Hz	7	4.190	80.00	0.475
49.141	0.2	Tone 4190Hz	7	4.190	80.00	0.475
49.391	0.05	Tone 4190Hz	7	4.190	80.00	0.475
49.491	0.2	Tone 4190Hz	7	4.190	80.00	0.475
49.741	0.2	Tone 4190Hz	7	4.190	80.00	0.475
49.991	0.2	Tone 4190Hz	7	4.190	80.00	0.475
50.241	0.05	Tone 4190Hz	7	4.190	80.00	0.475
50.341	0.2	Tone 4190Hz	7	4.190	80.00	0.475
50.591	0.05	Tone 4190Hz	7	4.190	80.00	0.475
50.691	0.05	Tone 4190Hz	7	4.190	80.00	0.475
50.791	0.05	Tone 4190Hz	7	4.190	80.00	0.475
50.891	0.2	Tone 4190Hz	7	4.190	80.00	0.475
51.141	0.05	Tone 4190Hz	7	4.190	80.00	0.475
51.241	0.2	Tone 4190Hz	7	4.190	80.00	0.475
51.491	0.2	Tone 4190Hz	7	4.190	80.00	0.475
51.741	0.2	Tone 4190Hz	7	4.190	80.00	0.475
54.494	0.2	Tone 702Hz	8	0.702	80.00	0.100
54.744	0.2	Tone 702Hz	8	0.702	80.00	0.100
54.994	0.05	Tone 702Hz	8	0.702	80.00	0.100
55.094	0.2	Tone 702Hz	8	0.702	80.00	0.100
55.344	0.2	Tone 702Hz	8	0.702	80.00	0.100
55.594	0.2	Tone 702Hz	8	0.702	80.00	0.100
55.844	0.2	Tone 702Hz	8	0.702	80.00	0.100
56.094	0.2	Tone 702Hz	8	0.702	80.00	0.100
56.344	0.05	Tone 702Hz	8	0.702	80.00	0.100
56.444	0.2	Tone 702Hz	8	0.702	80.00	0.100
56.694	0.2	Tone 702Hz	8	0.702	80.00	0.100
56.944	0.05	Tone 702Hz	8	0.702	80.00	0.100
57.044	0.05	Tone 702Hz	8	0.702	80.00	0.100
57.144	0.2	Tone 702Hz	8	0.702	80.00	0.100
57.394	0.2	Tone 702Hz	8	0.702	80.00	0.100
57.644	0.2	Tone 702Hz	8	0.702	80.00	0.100
