onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.2	Tone 803Hz	1	0.803	80.00	0.111
2.25	0.2	Tone 803Hz	1	0.803	80.00	0.111
2.5	0.2	Tone 803Hz	1	0.803	80.00	0.111
2.75	0.2	Tone 803Hz	1	0.803	80.00	0.111
3.0	0.05	Tone 803Hz	1	0.803	80.00	0.111
3.1	0.2	Tone 803Hz	1	0.803	80.00	0.111
3.35	0.05	Tone 803Hz	1	0.803	80.00	0.111
3.45	0.05	Tone 803Hz	1	0.803	80.00	0.111
3.55	0.2	Tone 803Hz	1	0.803	80.00	0.111
3.8	0.2	Tone 803Hz	1	0.803	80.00	0.111
4.05	0.2	Tone 803Hz	1	0.803	80.00	0.111
4.3	0.05	Tone 803Hz	1	0.803	80.00	0.111
4.4	0.2	Tone 803Hz	1	0.803	80.00	0.111
4.65	0.05	Tone 803Hz	1	0.803	80.00	0.111
4.75	0.2	Tone 803Hz	1	0.803	80.00	0.111
5.0	0.05	Tone 803Hz	1	0.803	80.00	0.111
5.1	0.2	Tone 803Hz	1	0.803	80.00	0.111
5.35	0.05	Tone 803Hz	1	0.803	80.00	0.111
5.45	0.05	Tone 803Hz	1	0.803	80.00	0.111
5.55	0.2	Tone 803Hz	1	0.803	80.00	0.111
5.8	0.2	Tone 803Hz	1	0.803	80.00	0.111
6.05	0.2	Tone 803Hz	1	0.803	80.00	0.111
6.3	0.2	Tone 803Hz	1	0.803	80.00	0.111
6.55	0.05	Tone 803Hz	1	0.803	80.00	0.111
6.65	0.2	Tone 803Hz	1	0.803	80.00	0.111
6.9	0.05	Tone 803Hz	1	0.803	80.00	0.111
9.55	0.2	Tone 453Hz	2	0.453	80.00	0.073
9.8	0.05	Tone 453Hz	2	0.453	80.00	0.073
9.9	0.05	Tone 453Hz	2	0.453	80.00	0.073
10.0	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.25	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.5	0.05	Tone 453Hz	2	0.453	80.00	0.073
10.6	0.2	Tone 453Hz	2	0.453	80.00	0.073
10.85	0.05	Tone 453Hz	2	0.453	80.00	0.073
10.95	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.2	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.45	0.2	Tone 453Hz	2	0.453	80.00	0.073
11.7	0.05	Tone 453Hz	2	0.453	80.00	0.073
11.8	0.2	Tone 453Hz	2	0.453	80.00	0.073
12.05	0.05	Tone 453Hz	2	0.453	80.00	0.073
12.15	0.2	Tone 453Hz	2	0.453	80.00	0.073
12.4	0.05	Tone 453Hz	2	0.453	80.00	0.073
12.5	0.2	Tone 453Hz	2	0.453	80.00	0.073
12.75	0.2	Tone 453Hz	2	0.453	80.00	0.073
13.0	0.05	Tone 453Hz	2	0.453	80.00	0.073
13.1	0.05	Tone 453Hz	2	0.453	80.00	0.073
13.2	0.05	Tone 453Hz	2	0.453	80.00	0.073
13.3	0.2	Tone 453Hz	2	0.453	80.00	0.073
13.55	0.2	Tone 453Hz	2	0.453	80.00	0.073
13.8	0.2	Tone 453Hz	2	0.453	80.00	0.073
14.05	0.2	Tone 453Hz	2	0.453	80.00	0.073
14.3	0.2	Tone 453Hz	2	0.453	80.00	0.073
17.054	0.2	Tone 1042Hz	3	1.042	80.00	0.137
17.304	0.2	Tone 1042Hz	3	1.042	80.00	0.137
17.554	0.2	Tone 1042Hz	3	1.042	80.00	0.137
