onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
9.988	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.068	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.148	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.228	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.308	0.05	Adapter 507Hz Probe 3839Hz	2	3.839	70.00	0.437
10.488	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.568	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.648	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.728	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
10.808	0.05	Adapter 507Hz Probe 3839Hz	2	3.839	70.00	0.437
10.988	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.068	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.148	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.228	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.308	0.05	Adapter 507Hz Probe 3839Hz	2	3.839	70.00	0.437
11.488	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.568	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.648	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.728	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
11.808	0.05	Adapter 507Hz Probe 3839Hz	2	3.839	70.00	0.437
11.988	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.068	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.148	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.228	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.308	0.05	Adapter 507Hz Probe 3839Hz	2	3.839	70.00	0.437
12.488	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.568	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.648	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.728	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
12.808	0.05	Adapter 507Hz Probe 3839Hz	2	3.839	70.00	0.437
12.988	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
13.068	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
13.148	0.05	Adapter 507Hz Probe 3839Hz	2	0.507	70.00	0.079
