onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
2.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
3.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
3.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
3.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
3.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
4.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
4.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
4.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
4.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
5.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
5.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
5.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
5.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
6.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
6.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
6.5	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
6.73	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
7.0	0.2	Adapter 507Hz Probe 3839Hz	1	0.507	70.00	0.079
7.23	0.05	Adapter 507Hz Probe 3839Hz	1	3.839	70.00	0.437
9.969	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
10.469	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
10.969	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
11.469	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
11.969	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
12.469	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
12.969	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
13.469	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
13.969	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
14.469	0.2	Adapter 2423Hz	2	2.423	70.00	0.285
17.484	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
17.984	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
18.484	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
18.984	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
19.484	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
19.984	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
20.484	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
20.984	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
21.484	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
21.984	0.2	Adapter 3839Hz	3	3.839	70.00	0.437
24.969	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
25.199	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
25.469	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
25.699	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
25.969	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
26.199	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
26.469	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
26.699	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
26.969	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
27.199	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
27.469	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
27.699	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
27.969	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
28.199	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
28.469	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
28.699	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
28.969	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
29.199	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
29.469	0.2	Adapter 507Hz Probe 3839Hz	4	0.507	70.00	0.079
29.699	0.05	Adapter 507Hz Probe 3839Hz	4	3.839	70.00	0.437
32.5	0.2	Adapter 251Hz	5	0.251	70.00	0.052
33.0	0.2	Adapter 251Hz	5	0.251	70.00	0.052
33.5	0.2	Adapter 251Hz	5	0.251	70.00	0.052
34.0	0.2	Adapter 251Hz	5	0.251	70.00	0.052
34.5	0.2	Adapter 251Hz	5	0.251	70.00	0.052
35.0	0.2	Adapter 251Hz	5	0.251	70.00	0.052
35.5	0.2	Adapter 251Hz	5	0.251	70.00	0.052
36.0	0.2	Adapter 251Hz	5	0.251	70.00	0.052
36.5	0.2	Adapter 251Hz	5	0.251	70.00	0.052
37.0	0.2	Adapter 251Hz	5	0.251	70.00	0.052
40.0	0.2	Adapter 3839Hz Probe 3839Hz	6	3.839	70.00	0.437
40.23	0.05	Adapter 3839Hz Probe 3839Hz	6	3.839	70.00	0.437
40.5	0.2	Adapter 3839Hz Probe 3839Hz	6	3.839	70.00	0.437
40.73	0.05	Adapter 3839Hz Probe 3839Hz	6	3.839	70.00	0.437
41.0	0.2	Adapter 3839Hz Probe 3839Hz	6	3.839	70.00	0.437
41.23	0.05	Adapter 3839Hz Probe 3839Hz	6	3.839	70.00	0.437
