onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.5	0.2	Adapter 507Hz	1	0.507	70.00	0.079
3.0	0.2	Adapter 507Hz	1	0.507	70.00	0.079
3.5	0.2	Adapter 507Hz	1	0.507	70.00	0.079
4.0	0.2	Adapter 507Hz	1	0.507	70.00	0.079
4.5	0.2	Adapter 507Hz	1	0.507	70.00	0.079
5.0	0.2	Adapter 507Hz	1	0.507	70.00	0.079
5.5	0.2	Adapter 507Hz	1	0.507	70.00	0.079
6.0	0.2	Adapter 507Hz	1	0.507	70.00	0.079
6.5	0.2	Adapter 507Hz	1	0.507	70.00	0.079
7.0	0.2	Adapter 507Hz	1	0.507	70.00	0.079
10.015	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
10.515	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
11.015	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
11.515	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
12.015	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
12.515	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
13.015	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
13.515	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
14.015	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
14.515	0.2	Adapter 6009Hz	2	6.009	70.00	0.671
25.031	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
25.531	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
26.031	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
26.531	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
27.031	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
27.531	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
28.031	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
28.531	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
29.031	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
29.531	0.2	Adapter 2423Hz	4	2.423	70.00	0.285
32.484	0.2	Adapter 251Hz	5	0.251	70.00	0.052
32.984	0.2	Adapter 251Hz	5	0.251	70.00	0.052
33.484	0.2	Adapter 251Hz	5	0.251	70.00	0.052
33.984	0.2	Adapter 251Hz	5	0.251	70.00	0.052
34.484	0.2	Adapter 251Hz	5	0.251	70.00	0.052
34.984	0.2	Adapter 251Hz	5	0.251	70.00	0.052
35.484	0.2	Adapter 251Hz	5	0.251	70.00	0.052
35.984	0.2	Adapter 251Hz	5	0.251	70.00	0.052
36.484	0.2	Adapter 251Hz	5	0.251	70.00	0.052
36.984	0.2	Adapter 251Hz	5	0.251	70.00	0.052
40.015	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
40.515	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
41.015	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
41.515	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
42.015	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
42.515	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
43.015	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
43.515	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
44.015	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
44.515	0.2	Adapter 6009Hz	6	6.009	70.00	0.671
47.531	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
48.031	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
48.531	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
49.031	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
49.531	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
50.031	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
50.531	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
51.031	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
51.531	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
52.031	0.2	Adapter 2423Hz	7	2.423	70.00	0.285
54.984	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
55.484	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
55.984	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
56.484	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
56.984	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
57.484	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
57.984	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
58.484	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
58.984	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
59.484	0.2	Adapter 3839Hz	8	3.839	70.00	0.437
62.484	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
62.714	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
62.984	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
63.214	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
63.484	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
63.714	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
63.984	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
64.214	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
64.484	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
64.714	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
64.984	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
65.214	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
65.484	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
65.714	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
65.984	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
66.214	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
66.484	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
66.714	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
66.984	0.2	Adapter 1501Hz Probe 3839Hz	9	1.501	70.00	0.186
67.214	0.05	Adapter 1501Hz Probe 3839Hz	9	3.839	70.00	0.437
70.0	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
70.5	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
71.0	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
71.5	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
72.0	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
72.5	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
73.0	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
73.5	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
74.0	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
74.5	0.2	Adapter 1501Hz	10	1.501	70.00	0.186
77.515	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
78.015	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
78.515	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
79.015	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
79.515	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
80.015	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
80.515	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
81.015	0.2	Adapter 1501Hz	11	1.501	70.00	0.186
