onset	duration	trial_type	scan	frequency_kHz	level_dB_SPL	bandwidth_kHz
2.0	0.2	Tone 137Hz	1	0.137	80.00	0.039
2.25	0.2	Tone 137Hz	1	0.137	80.00	0.039
2.5	0.05	Tone 137Hz	1	0.137	80.00	0.039
2.6	0.2	Tone 137Hz	1	0.137	80.00	0.039
2.85	0.2	Tone 137Hz	1	0.137	80.00	0.039
3.1	0.05	Tone 137Hz	1	0.137	80.00	0.039
3.2	0.2	Tone 137Hz	1	0.137	80.00	0.039
3.45	0.05	Tone 137Hz	1	0.137	80.00	0.039
3.55	0.05	Tone 137Hz	1	0.137	80.00	0.039
3.65	0.05	Tone 137Hz	1	0.137	80.00	0.039
3.75	0.05	Tone 137Hz	1	0.137	80.00	0.039
3.85	0.05	Tone 137Hz	1	0.137	80.00	0.039
3.95	0.2	Tone 137Hz	1	0.137	80.00	0.039
4.2	0.2	Tone 137Hz	1	0.137	80.00	0.039
4.45	0.2	Tone 137Hz	1	0.137	80.00	0.039
4.7	0.05	Tone 137Hz	1	0.137	80.00	0.039
4.8	0.2	Tone 137Hz	1	0.137	80.00	0.039
5.05	0.05	Tone 137Hz	1	0.137	80.00	0.039
5.15	0.2	Tone 137Hz	1	0.137	80.00	0.039
5.4	0.2	Tone 137Hz	1	0.137	80.00	0.039
5.65	0.05	Tone 137Hz	1	0.137	80.00	0.039
5.75	0.2	Tone 137Hz	1	0.137	80.00	0.039
6.0	0.2	Tone 137Hz	1	0.137	80.00	0.039
6.25	0.2	Tone 137Hz	1	0.137	80.00	0.039
6.5	0.2	Tone 137Hz	1	0.137	80.00	0.039
6.75	0.2	Tone 137Hz	1	0.137	80.00	0.039
9.503	0.2	Tone 1907Hz	2	1.907	80.00	0.230
9.753	0.2	Tone 1907Hz	2	1.907	80.00	0.230
10.003	0.05	Tone 1907Hz	2	1.907	80.00	0.230
10.103	0.2	Tone 1907Hz	2	1.907	80.00	0.230
10.353	0.2	Tone 1907Hz	2	1.907	80.00	0.230
10.603	0.2	Tone 1907Hz	2	1.907	80.00	0.230
10.853	0.05	Tone 1907Hz	2	1.907	80.00	0.230
10.953	0.2	Tone 1907Hz	2	1.907	80.00	0.230
11.203	0.05	Tone 1907Hz	2	1.907	80.00	0.230
11.303	0.2	Tone 1907Hz	2	1.907	80.00	0.230
11.553	0.2	Tone 1907Hz	2	1.907	80.00	0.230
11.803	0.2	Tone 1907Hz	2	1.907	80.00	0.230
12.053	0.05	Tone 1907Hz	2	1.907	80.00	0.230
12.153	0.2	Tone 1907Hz	2	1.907	80.00	0.230
12.403	0.2	Tone 1907Hz	2	1.907	80.00	0.230
12.653	0.2	Tone 1907Hz	2	1.907	80.00	0.230
12.903	0.2	Tone 1907Hz	2	1.907	80.00	0.230
13.153	0.2	Tone 1907Hz	2	1.907	80.00	0.230
13.403	0.05	Tone 1907Hz	2	1.907	80.00	0.230
13.503	0.2	Tone 1907Hz	2	1.907	80.00	0.230
13.753	0.05	Tone 1907Hz	2	1.907	80.00	0.230
13.853	0.05	Tone 1907Hz	2	1.907	80.00	0.230
13.953	0.05	Tone 1907Hz	2	1.907	80.00	0.230
14.053	0.2	Tone 1907Hz	2	1.907	80.00	0.230
14.303	0.05	Tone 1907Hz	2	1.907	80.00	0.230
14.403	0.05	Tone 1907Hz	2	1.907	80.00	0.230
16.945	0.05	Tone 3007Hz	3	3.007	80.00	0.348
17.045	0.2	Tone 3007Hz	3	3.007	80.00	0.348
17.295	0.05	Tone 3007Hz	3	3.007	80.00	0.348
17.395	0.2	Tone 3007Hz	3	3.007	80.00	0.348
17.645	0.2	Tone 3007Hz	3	3.007	80.00	0.348
17.895	0.05	Tone 3007Hz	3	3.007	80.00	0.348
17.995	0.2	Tone 3007Hz	3	3.007	80.00	0.348
18.245	0.05	Tone 3007Hz	3	3.007	80.00	0.348
18.345	0.2	Tone 3007Hz	3	3.007	80.00	0.348
18.595	0.2	Tone 3007Hz	3	3.007	80.00	0.348
18.845	0.2	Tone 3007Hz	3	3.007	80.00	0.348
19.095	0.2	Tone 3007Hz	3	3.007	80.00	0.348
19.345	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.445	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.545	0.05	Tone 3007Hz	3	3.007	80.00	0.348
19.645	0.2	Tone 3007Hz	3	3.007	80.00	0.348
19.895	0.2	Tone 3007Hz	3	3.007	80.00	0.348
20.145	0.05	Tone 3007Hz	3	3.007	80.00	0.348
20.245	0.05	Tone 3007Hz	3	3.007	80.00	0.348
20.345	0.2	Tone 3007Hz	3	3.007	80.00	0.348
20.595	0.2	Tone 3007Hz	3	3.007	80.00	0.348
20.845	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.095	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.345	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.595	0.2	Tone 3007Hz	3	3.007	80.00	0.348
21.845	0.05	Tone 3007Hz	3	3.007	80.00	0.348
24.495	0.05	Tone 385Hz	4	0.385	80.00	0.066
24.595	0.2	Tone 385Hz	4	0.385	80.00	0.066
24.845	0.2	Tone 385Hz	4	0.385	80.00	0.066
25.095	0.2	Tone 385Hz	4	0.385	80.00	0.066
25.345	0.05	Tone 385Hz	4	0.385	80.00	0.066
25.445	0.05	Tone 385Hz	4	0.385	80.00	0.066
25.545	0.2	Tone 385Hz	4	0.385	80.00	0.066
25.795	0.05	Tone 385Hz	4	0.385	80.00	0.066
25.895	0.2	Tone 385Hz	4	0.385	80.00	0.066
26.145	0.2	Tone 385Hz	4	0.385	80.00	0.066
