participant_id	taskgroup
sub-01	adaptation
sub-02	adaptation
sub-03	adaptation
sub-04	adaptation
sub-05	adaptation
sub-06	adaptation
sub-07	adaptation
sub-08	adaptation
sub-09	adaptation
sub-10	adaptation
sub-11	adaptation
sub-12	adaptation
sub-13	tonotopy
sub-14	tonotopy
sub-15	tonotopy
sub-16	tonotopy
sub-17	tonotopy
sub-18	tonotopy
sub-19	tonotopy
sub-20	tonotopy
